Lesson,Exercise ID,Type,Order,Prompt HY,Prompt EN,Prompt RU
w10_l10,w10_l10_v11_tr_prompt,translate,47,"Թարգմանիր՝ "քննադատ"","Translate: "քննադատ"","Переведи: "քննադատ""
w10_l10,w10_l10_v12,multiple_choice,48,"Ընտրիր "գլուխգործոց"-ի թարգմանությունը","Choose the meaning of "masterpiece"","Выбери перевод "шедевр""
w10_l10,w10_l10_v12_mc_answer,translate,49,"Թարգմանիր՝ "գլուխգործոց"","Translate: "գլուխգործոց"","Переведи: "գլուխգործոց""
w10_l2,w10_l2_match_prompt,translate,3,"Թարգմանիր՝ "նկարիչ"","Translate: "նկարիչ"","Переведи: "նկարիչ""
w10_l2,w10_l2_v0,multiple_choice,4,"Ընտրիր "գործ"-ի թարգմանությունը","Choose the meaning of "work (art)"","Выбери перевод "произведение""
w10_l2,w10_l2_v0_mc_answer,translate,5,"Թարգմանիր՝ "գործ"","Translate: "գործ"","Переведи: "գործ""
w10_l2,w10_l2_v0_mc_prompt,translate,9,"Թարգմանիր՝ "թանգարան"","Translate: "թանգարան"","Переведи: "թանգարան""
w10_l2,w10_l2_v0_tr_answer,multiple_choice,10,"Ընտրիր "պատկերասրահ"-ի թարգմանությունը","Choose the meaning of "gallery"","Выбери перевод "галерея""
w10_l2,w10_l2_v0_tr_prompt,multiple_choice,14,"Ընտրիր "ոգեշնչում"-ի թարգմանությունը","Choose the meaning of "inspiration"","Выбери перевод "вдохновение""
w10_l2,w10_l2_v1,translate,15,"Թարգմանիր՝ "ոգեշնչում"","Translate: "ոգեշնչում"","Переведи: "ոգեշնչում""
w10_l2,w10_l2_v1_mc_answer,multiple_choice,16,"Ընտրիր "ստեղծագործել"-ի թարգմանությունը","Choose the meaning of "to create"","Выбери перевод "создавать""
w10_l2,w10_l2_v1_mc_prompt,multiple_choice,20,"Ընտրիր "զգացմունք"-ի թարգմանությունը","Choose the meaning of "emotion"","Выбери перевод "эмоция""
w10_l2,w10_l2_v1_tr_answer,translate,21,"Թարգմանիր՝ "զգացմունք"","Translate: "զգացմունք"","Переведи: "զգացմունք""
w10_l2,w10_l2_v1_tr_prompt,translate,25,"Թարգմանիր՝ "ոճ"","Translate: "ոճ"","Переведи: "ոճ""
w10_l2,w10_l2_v10,multiple_choice,26,"Ընտրիր "դասական"-ի թարգմանությունը","Choose the meaning of "classical"","Выбери перевод "классический""
w10_l2,w10_l2_v10_mc_answer,translate,27,"Թարգմանիր՝ "դասական"","Translate: "դասական"","Переведи: "դասական""
w10_l2,w10_l2_v10_mc_prompt,translate,31,"Թարգմանիր՝ "վեպ"","Translate: "վեպ"","Переведи: "վեպ""
w10_l2,w10_l2_v10_tr_answer,multiple_choice,32,"Ընտրիր "բանաստեղծություն"-ի թարգմանությունը","Choose the meaning of "poem"","Выбери перевод "стихотворение""
w10_l2,w10_l2_v10_tr_prompt,multiple_choice,36,"Ընտրիր "ֆիլմ"-ի թարգմանությունը","Choose the meaning of "film"","Выбери перевод "фильм""
w10_l2,w10_l2_v11,translate,37,"Թարգմանիր՝ "ֆիլմ"","Translate: "ֆիլմ"","Переведи: "ֆիլմ""
w10_l2,w10_l2_v11_mc_answer,multiple_choice,38,"Ընտրիր "ռեժիսոր"-ի թարգմանությունը","Choose the meaning of "director"","Выбери перевод "режиссёр""
w10_l2,w10_l2_v11_mc_prompt,multiple_choice,42,"Ընտրիր "բեմ"-ի թարգմանությունը","Choose the meaning of "stage"","Выбери перевод "сцена""
w10_l2,w10_l2_v11_tr_answer,translate,43,"Թարգմանիր՝ "բեմ"","Translate: "բեմ"","Переведи: "բեմ""
w10_l2,w10_l2_v11_tr_prompt,translate,47,"Թարգմանիր՝ "քննադատ"","Translate: "քննադատ"","Переведи: "քննադատ""
w10_l2,w10_l2_v12,multiple_choice,48,"Ընտրիր "գլուխգործոց"-ի թարգմանությունը","Choose the meaning of "masterpiece"","Выбери перевод "шедевр""
w10_l2,w10_l2_v12_mc_answer,translate,49,"Թարգմանիր՝ "գլուխգործոց"","Translate: "գլուխգործոց"","Переведи: "գլուխգործոց""
w10_l3,w10_l3_match_prompt,translate,3,"Թարգմանիր՝ "նկարիչ"","Translate: "նկարիչ"","Переведи: "նկարիչ""
w10_l3,w10_l3_v0,multiple_choice,4,"Ընտրիր "գործ"-ի թարգմանությունը","Choose the meaning of "work (art)"","Выбери перевод "произведение""
w10_l3,w10_l3_v0_mc_answer,translate,5,"Թարգմանիր՝ "գործ"","Translate: "գործ"","Переведи: "գործ""
w10_l3,w10_l3_v0_mc_prompt,translate,9,"Թարգմանիր՝ "թանգարան"","Translate: "թանգարան"","Переведи: "թանգարան""
w10_l3,w10_l3_v0_tr_answer,multiple_choice,10,"Ընտրիր "պատկերասրահ"-ի թարգմանությունը","Choose the meaning of "gallery"","Выбери перевод "галерея""
w10_l3,w10_l3_v0_tr_prompt,multiple_choice,14,"Ընտրիր "ոգեշնչում"-ի թարգմանությունը","Choose the meaning of "inspiration"","Выбери перевод "вдохновение""
w10_l3,w10_l3_v1,translate,15,"Թարգմանիր՝ "ոգեշնչում"","Translate: "ոգեշնչում"","Переведи: "ոգեշնչում""
w10_l3,w10_l3_v1_mc_answer,multiple_choice,16,"Ընտրիր "ստեղծագործել"-ի թարգմանությունը","Choose the meaning of "to create"","Выбери перевод "создавать""
w10_l3,w10_l3_v1_mc_prompt,multiple_choice,20,"Ընտրիր "զգացմունք"-ի թարգմանությունը","Choose the meaning of "emotion"","Выбери перевод "эмоция""
w10_l3,w10_l3_v1_tr_answer,translate,21,"Թարգմանիր՝ "զգացմունք"","Translate: "զգացմունք"","Переведи: "զգացմունք""
w10_l3,w10_l3_v1_tr_prompt,translate,25,"Թարգմանիր՝ "ոճ"","Translate: "ոճ"","Переведи: "ոճ""
w10_l3,w10_l3_v10,multiple_choice,26,"Ընտրիր "դասական"-ի թարգմանությունը","Choose the meaning of "classical"","Выбери перевод "классический""
w10_l3,w10_l3_v10_mc_answer,translate,27,"Թարգմանիր՝ "դասական"","Translate: "դասական"","Переведи: "դասական""
w10_l3,w10_l3_v10_mc_prompt,translate,31,"Թարգմանիր՝ "վեպ"","Translate: "վեպ"","Переведи: "վեպ""
w10_l3,w10_l3_v10_tr_answer,multiple_choice,32,"Ընտրիր "բանաստեղծություն"-ի թարգմանությունը","Choose the meaning of "poem"","Выбери перевод "стихотворение""
w10_l3,w10_l3_v10_tr_prompt,multiple_choice,36,"Ընտրիր "ֆիլմ"-ի թարգմանությունը","Choose the meaning of "film"","Выбери перевод "фильм""
w10_l3,w10_l3_v11,translate,37,"Թարգմանիր՝ "ֆիլմ"","Translate: "ֆիլմ"","Переведи: "ֆիլմ""
w10_l3,w10_l3_v11_mc_answer,multiple_choice,38,"Ընտրիր "ռեժիսոր"-ի թարգմանությունը","Choose the meaning of "director"","Выбери перевод "режиссёр""
w10_l3,w10_l3_v11_mc_prompt,multiple_choice,42,"Ընտրիր "բեմ"-ի թարգմանությունը","Choose the meaning of "stage"","Выбери перевод "сцена""
w10_l3,w10_l3_v11_tr_answer,translate,43,"Թարգմանիր՝ "բեմ"","Translate: "բեմ"","Переведи: "բեմ""
w10_l3,w10_l3_v11_tr_prompt,translate,47,"Թարգմանիր՝ "քննադատ"","Translate: "քննադատ"","Переведи: "քննադատ""
w10_l3,w10_l3_v12,multiple_choice,48,"Ընտրիր "գլուխգործոց"-ի թարգմանությունը","Choose the meaning of "masterpiece"","Выбери перевод "шедевр""
w10_l3,w10_l3_v12_mc_answer,translate,49,"Թարգմանիր՝ "գլուխգործոց"","Translate: "գլուխգործոց"","Переведи: "գլուխգործոց""
w10_l4,w10_l4_match_prompt,translate,3,"Թարգմանիր՝ "նկարիչ"","Translate: "նկարիչ"","Переведи: "նկարիչ""
w10_l4,w10_l4_v0,multiple_choice,4,"Ընտրիր "գործ"-ի թարգմանությունը","Choose the meaning of "work (art)"","Выбери перевод "произведение""
w10_l4,w10_l4_v0_mc_answer,translate,5,"Թարգմանիր՝ "գործ"","Translate: "գործ"","Переведи: "գործ""
w10_l4,w10_l4_v0_mc_prompt,translate,9,"Թարգմանիր՝ "թանգարան"","Translate: "թանգարան"","Переведи: "թանգարան""
w10_l4,w10_l4_v0_tr_answer,multiple_choice,10,"Ընտրիր "պատկերասրահ"-ի թարգմանությունը","Choose the meaning of "gallery"","Выбери перевод "галерея""
w10_l4,w10_l4_v0_tr_prompt,multiple_choice,14,"Ընտրիր "ոգեշնչում"-ի թարգմանությունը","Choose the meaning of "inspiration"","Выбери перевод "вдохновение""
w10_l4,w10_l4_v1,translate,15,"Թարգմանիր՝ "ոգեշնչում"","Translate: "ոգեշնչում"","Переведи: "ոգեշնչում""
w10_l4,w10_l4_v1_mc_answer,multiple_choice,16,"Ընտրիր "ստեղծագործել"-ի թարգմանությունը","Choose the meaning of "to create"","Выбери перевод "создавать""
w10_l4,w10_l4_v1_mc_prompt,multiple_choice,20,"Ընտրիր "զգացմունք"-ի թարգմանությունը","Choose the meaning of "emotion"","Выбери перевод "эмоция""
w10_l4,w10_l4_v1_tr_answer,translate,21,"Թարգմանիր՝ "զգացմունք"","Translate: "զգացմունք"","Переведи: "զգացմունք""
w10_l4,w10_l4_v1_tr_prompt,translate,25,"Թարգմանիր՝ "ոճ"","Translate: "ոճ"","Переведи: "ոճ""
w10_l4,w10_l4_v10,multiple_choice,26,"Ընտրիր "դասական"-ի թարգմանությունը","Choose the meaning of "classical"","Выбери перевод "классический""
w10_l4,w10_l4_v10_mc_answer,translate,27,"Թարգմանիր՝ "դասական"","Translate: "դասական"","Переведи: "դասական""
w10_l4,w10_l4_v10_mc_prompt,translate,31,"Թարգմանիր՝ "վեպ"","Translate: "վեպ"","Переведи: "վեպ""
w10_l4,w10_l4_v10_tr_answer,multiple_choice,32,"Ընտրիր "բանաստեղծություն"-ի թարգմանությունը","Choose the meaning of "poem"","Выбери перевод "стихотворение""
w10_l4,w10_l4_v10_tr_prompt,multiple_choice,36,"Ընտրիր "ֆիլմ"-ի թարգմանությունը","Choose the meaning of "film"","Выбери перевод "фильм""
w10_l4,w10_l4_v11,translate,37,"Թարգմանիր՝ "ֆիլմ"","Translate: "ֆիլմ"","Переведи: "ֆիլմ""
w10_l4,w10_l4_v11_mc_answer,multiple_choice,38,"Ընտրիր "ռեժիսոր"-ի թարգմանությունը","Choose the meaning of "director"","Выбери перевод "режиссёр""
w10_l4,w10_l4_v11_mc_prompt,multiple_choice,42,"Ընտրիր "բեմ"-ի թարգմանությունը","Choose the meaning of "stage"","Выбери перевод "сцена""
w10_l4,w10_l4_v11_tr_answer,translate,43,"Թարգմանիր՝ "բեմ"","Translate: "բեմ"","Переведи: "բեմ""
w10_l4,w10_l4_v11_tr_prompt,translate,47,"Թարգմանիր՝ "քննադատ"","Translate: "քննադատ"","Переведи: "քննադատ""
w10_l4,w10_l4_v12,multiple_choice,48,"Ընտրիր "գլուխգործոց"-ի թարգմանությունը","Choose the meaning of "masterpiece"","Выбери перевод "шедевр""
w10_l4,w10_l4_v12_mc_answer,translate,49,"Թարգմանիր՝ "գլուխգործոց"","Translate: "գլուխգործոց"","Переведи: "գլուխգործոց""
w10_l5,w10_l5_match_prompt,translate,3,"Թարգմանիր՝ "նկարիչ"","Translate: "նկարիչ"","Переведи: "նկարիչ""
w10_l5,w10_l5_v0,multiple_choice,4,"Ընտրիր "գործ"-ի թարգմանությունը","Choose the meaning of "work (art)"","Выбери перевод "произведение""
w10_l5,w10_l5_v0_mc_answer,translate,5,"Թարգմանիր՝ "գործ"","Translate: "գործ"","Переведи: "գործ""
w10_l5,w10_l5_v0_mc_prompt,translate,9,"Թարգմանիր՝ "թանգարան"","Translate: "թանգարան"","Переведи: "թանգարան""
w10_l5,w10_l5_v0_tr_answer,multiple_choice,10,"Ընտրիր "պատկերասրահ"-ի թարգմանությունը","Choose the meaning of "gallery"","Выбери перевод "галерея""
w10_l5,w10_l5_v0_tr_prompt,multiple_choice,14,"Ընտրիր "ոգեշնչում"-ի թարգմանությունը","Choose the meaning of "inspiration"","Выбери перевод "вдохновение""
w10_l5,w10_l5_v1,translate,15,"Թարգմանիր՝ "ոգեշնչում"","Translate: "ոգեշնչում"","Переведи: "ոգեշնչում""
w10_l5,w10_l5_v1_mc_answer,multiple_choice,16,"Ընտրիր "ստեղծագործել"-ի թարգմանությունը","Choose the meaning of "to create"","Выбери перевод "создавать""
w10_l5,w10_l5_v1_mc_prompt,multiple_choice,20,"Ընտրիր "զգացմունք"-ի թարգմանությունը","Choose the meaning of "emotion"","Выбери перевод "эмоция""
w10_l5,w10_l5_v1_tr_answer,translate,21,"Թարգմանիր՝ "զգացմունք"","Translate: "զգացմունք"","Переведи: "զգացմունք""
w10_l5,w10_l5_v1_tr_prompt,translate,25,"Թարգմանիր՝ "ոճ"","Translate: "ոճ"","Переведи: "ոճ""
w10_l5,w10_l5_v10,multiple_choice,26,"Ընտրիր "դասական"-ի թարգմանությունը","Choose the meaning of "classical"","Выбери перевод "классический""
w10_l5,w10_l5_v10_mc_answer,translate,27,"Թարգմանիր՝ "դասական"","Translate: "դասական"","Переведи: "դասական""
w10_l5,w10_l5_v10_mc_prompt,translate,31,"Թարգմանիր՝ "վեպ"","Translate: "վեպ"","Переведи: "վեպ""
w10_l5,w10_l5_v10_tr_answer,multiple_choice,32,"Ընտրիր "բանաստեղծություն"-ի թարգմանությունը","Choose the meaning of "poem"","Выбери перевод "стихотворение""
w10_l5,w10_l5_v10_tr_prompt,multiple_choice,36,"Ընտրիր "ֆիլմ"-ի թարգմանությունը","Choose the meaning of "film"","Выбери перевод "фильм""
w10_l5,w10_l5_v11,translate,37,"Թարգմանիր՝ "ֆիլմ"","Translate: "ֆիլմ"","Переведи: "ֆիլմ""
w10_l5,w10_l5_v11_mc_answer,multiple_choice,38,"Ընտրիր "ռեժիսոր"-ի թարգմանությունը","Choose the meaning of "director"","Выбери перевод "режиссёр""
w10_l5,w10_l5_v11_mc_prompt,multiple_choice,42,"Ընտրիր "բեմ"-ի թարգմանությունը","Choose the meaning of "stage"","Выбери перевод "сцена""
w10_l5,w10_l5_v11_tr_answer,translate,43,"Թարգմանիր՝ "բեմ"","Translate: "բեմ"","Переведи: "բեմ""
w10_l5,w10_l5_v11_tr_prompt,translate,47,"Թարգմանիր՝ "քննադատ"","Translate: "քննադատ"","Переведи: "քննադատ""
w10_l5,w10_l5_v12,multiple_choice,48,"Ընտրիր "գլուխգործոց"-ի թարգմանությունը","Choose the meaning of "masterpiece"","Выбери перевод "шедевр""
w10_l5,w10_l5_v12_mc_answer,translate,49,"Թարգմանիր՝ "գլուխգործոց"","Translate: "գլուխգործոց"","Переведи: "գլուխգործոց""
w10_l6,w10_l6_match_prompt,translate,3,"Թարգմանիր՝ "նկարիչ"","Translate: "նկարիչ"","Переведи: "նկարիչ""
w10_l6,w10_l6_v0,multiple_choice,4,"Ընտրիր "գործ"-ի թարգմանությունը","Choose the meaning of "work (art)"","Выбери перевод "произведение""
w10_l6,w10_l6_v0_mc_answer,translate,5,"Թարգմանիր՝ "գործ"","Translate: "գործ"","Переведи: "գործ""
w10_l6,w10_l6_v0_mc_prompt,translate,9,"Թարգմանիր՝ "թանգարան"","Translate: "թանգարան"","Переведи: "թանգարան""
w10_l6,w10_l6_v0_tr_answer,multiple_choice,10,"Ընտրիր "պատկերասրահ"-ի թարգմանությունը","Choose the meaning of "gallery"","Выбери перевод "галерея""
w10_l6,w10_l6_v0_tr_prompt,multiple_choice,14,"Ընտրիր "ոգեշնչում"-ի թարգմանությունը","Choose the meaning of "inspiration"","Выбери перевод "вдохновение""
w10_l6,w10_l6_v1,translate,15,"Թարգմանիր՝ "ոգեշնչում"","Translate: "ոգեշնչում"","Переведи: "ոգեշնչում""
w10_l6,w10_l6_v1_mc_answer,multiple_choice,16,"Ընտրիր "ստեղծագործել"-ի թարգմանությունը","Choose the meaning of "to create"","Выбери перевод "создавать""
w10_l6,w10_l6_v1_mc_prompt,multiple_choice,20,"Ընտրիր "զգացմունք"-ի թարգմանությունը","Choose the meaning of "emotion"","Выбери перевод "эмоция""
w10_l6,w10_l6_v1_tr_answer,translate,21,"Թարգմանիր՝ "զգացմունք"","Translate: "զգացմունք"","Переведи: "զգացմունք""
w10_l6,w10_l6_v1_tr_prompt,translate,25,"Թարգմանիր՝ "ոճ"","Translate: "ոճ"","Переведи: "ոճ""
w10_l6,w10_l6_v10,multiple_choice,26,"Ընտրիր "դասական"-ի թարգմանությունը","Choose the meaning of "classical"","Выбери перевод "классический""
w10_l6,w10_l6_v10_mc_answer,translate,27,"Թարգմանիր՝ "դասական"","Translate: "դասական"","Переведи: "դասական""
w10_l6,w10_l6_v10_mc_prompt,translate,31,"Թարգմանիր՝ "վեպ"","Translate: "վեպ"","Переведи: "վեպ""
w10_l6,w10_l6_v10_tr_answer,multiple_choice,32,"Ընտրիր "բանաստեղծություն"-ի թարգմանությունը","Choose the meaning of "poem"","Выбери перевод "стихотворение""
w10_l6,w10_l6_v10_tr_prompt,multiple_choice,36,"Ընտրիր "ֆիլմ"-ի թարգմանությունը","Choose the meaning of "film"","Выбери перевод "фильм""
w10_l6,w10_l6_v11,translate,37,"Թարգմանիր՝ "ֆիլմ"","Translate: "ֆիլմ"","Переведи: "ֆիլմ""
w10_l6,w10_l6_v11_mc_answer,multiple_choice,38,"Ընտրիր "ռեժիսոր"-ի թարգմանությունը","Choose the meaning of "director"","Выбери перевод "режиссёр""
w10_l6,w10_l6_v11_mc_prompt,multiple_choice,42,"Ընտրիր "բեմ"-ի թարգմանությունը","Choose the meaning of "stage"","Выбери перевод "сцена""
w10_l6,w10_l6_v11_tr_answer,translate,43,"Թարգմանիր՝ "բեմ"","Translate: "բեմ"","Переведи: "բեմ""
w10_l6,w10_l6_v11_tr_prompt,translate,47,"Թարգմանիր՝ "քննադատ"","Translate: "քննադատ"","Переведи: "քննադատ""
w10_l6,w10_l6_v12,multiple_choice,48,"Ընտրիր "գլուխգործոց"-ի թարգմանությունը","Choose the meaning of "masterpiece"","Выбери перевод "шедевр""
w10_l6,w10_l6_v12_mc_answer,translate,49,"Թարգմանիր՝ "գլուխգործոց"","Translate: "գլուխգործոց"","Переведи: "գլուխգործոց""
w10_l7,w10_l7_match_prompt,translate,3,"Թարգմանիր՝ "նկարիչ"","Translate: "նկարիչ"","Переведи: "նկարիչ""
w10_l7,w10_l7_v0,multiple_choice,4,"Ընտրիր "գործ"-ի թարգմանությունը","Choose the meaning of "work (art)"","Выбери перевод "произведение""
w10_l7,w10_l7_v0_mc_answer,translate,5,"Թարգմանիր՝ "գործ"","Translate: "գործ"","Переведи: "գործ""
w10_l7,w10_l7_v0_mc_prompt,translate,9,"Թարգմանիր՝ "թանգարան"","Translate: "թանգարան"","Переведи: "թանգարան""
w10_l7,w10_l7_v0_tr_answer,multiple_choice,10,"Ընտրիր "պատկերասրահ"-ի թարգմանությունը","Choose the meaning of "gallery"","Выбери перевод "галерея""
w10_l7,w10_l7_v0_tr_prompt,multiple_choice,14,"Ընտրիր "ոգեշնչում"-ի թարգմանությունը","Choose the meaning of "inspiration"","Выбери перевод "вдохновение""
w10_l7,w10_l7_v1,translate,15,"Թարգմանիր՝ "ոգեշնչում"","Translate: "ոգեշնչում"","Переведи: "ոգեշնչում""
w10_l7,w10_l7_v1_mc_answer,multiple_choice,16,"Ընտրիր "ստեղծագործել"-ի թարգմանությունը","Choose the meaning of "to create"","Выбери перевод "создавать""
w10_l7,w10_l7_v1_mc_prompt,multiple_choice,20,"Ընտրիր "զգացմունք"-ի թարգմանությունը","Choose the meaning of "emotion"","Выбери перевод "эмоция""
w10_l7,w10_l7_v1_tr_answer,translate,21,"Թարգմանիր՝ "զգացմունք"","Translate: "զգացմունք"","Переведи: "զգացմունք""
w10_l7,w10_l7_v1_tr_prompt,translate,25,"Թարգմանիր՝ "ոճ"","Translate: "ոճ"","Переведи: "ոճ""
w10_l7,w10_l7_v10,multiple_choice,26,"Ընտրիր "դասական"-ի թարգմանությունը","Choose the meaning of "classical"","Выбери перевод "классический""
w10_l7,w10_l7_v10_mc_answer,translate,27,"Թարգմանիր՝ "դասական"","Translate: "դասական"","Переведи: "դասական""
w10_l7,w10_l7_v10_mc_prompt,translate,31,"Թարգմանիր՝ "վեպ"","Translate: "վեպ"","Переведи: "վեպ""
w10_l7,w10_l7_v10_tr_answer,multiple_choice,32,"Ընտրիր "բանաստեղծություն"-ի թարգմանությունը","Choose the meaning of "poem"","Выбери перевод "стихотворение""
w10_l7,w10_l7_v10_tr_prompt,multiple_choice,36,"Ընտրիր "ֆիլմ"-ի թարգմանությունը","Choose the meaning of "film"","Выбери перевод "фильм""
w10_l7,w10_l7_v11,translate,37,"Թարգմանիր՝ "ֆիլմ"","Translate: "ֆիլմ"","Переведи: "ֆիլմ""
w10_l7,w10_l7_v11_mc_answer,multiple_choice,38,"Ընտրիր "ռեժիսոր"-ի թարգմանությունը","Choose the meaning of "director"","Выбери перевод "режиссёр""
