Lesson,Exercise ID,Type,Prompt,Answer,Audio ID,Has Audio
w1_l1,w1_l1_tr_11,translate,"Թարգմանիր՝ "անուն"","name",000142,NO
w1_l1,w1_l1_mc_12,multiple_choice,"Ընտրիր "ընկեր"-ի թարգմանությունը","friend",000146,NO
w1_l1,w1_l1_tr_12,translate,"Թարգմանիր՝ "ընկեր"","friend",000152,NO
w1_l1,w1_l1_mc_13,multiple_choice,"Ընտրիր "պարոն"-ի թարգմանությունը","mister",000156,NO
w1_l1,w1_l1_tr_13,translate,"Թարգմանիր՝ "պարոն"","mister",000162,NO
w1_l1,w1_l1_mc_14,multiple_choice,"Ընտրիր "տիկին"-ի թարգմանությունը","missus",000166,NO
w1_l1,w1_l1_tr_14,translate,"Թարգմանիր՝ "տիկին"","missus",000172,NO
w1_l1,w1_l1_mc_15,multiple_choice,"Ընտրիր "շնորհակալություն"-ի թարգմանությունը","thank you",000176,NO
w1_l1,w1_l1_tr_15,translate,"Թարգմանիր՝ "շնորհակալություն"","thank you",000182,NO
w1_l1,w1_l1_mc_16,multiple_choice,"Ընտրիր "խնդրեմ"-ի թարգմանությունը","please",000186,NO
w1_l1,w1_l1_tr_16,translate,"Թարգմանիր՝ "խնդրեմ"","please",000192,NO
w1_l1,w1_l1_mc_17,multiple_choice,"Ընտրիր "ներեցեք"-ի թարգմանությունը","sorry",000196,NO
w1_l1,w1_l1_tr_17,translate,"Թարգմանիր՝ "ներեցեք"","sorry",000202,NO
w1_l1,w1_l1_mc_18,multiple_choice,"Ընտրիր "այո"-ի թարգմանությունը","yes",000206,NO
w1_l1,w1_l1_tr_18,translate,"Թարգմանիր՝ "այո"","yes",000212,NO
w1_l1,w1_l1_mc_19,multiple_choice,"Ընտրիր "ոչ"-ի թարգմանությունը","no",000216,NO
w1_l1,w1_l1_tr_19,translate,"Թարգմանիր՝ "ոչ"","no",000222,NO
w1_l1,w1_l1_mc_20,multiple_choice,"Ընտրիր "ինչպես"-ի թարգմանությունը","how",000226,NO
w1_l1,w1_l1_tr_20,translate,"Թարգմանիր՝ "ինչպես"","how",000232,NO
w1_l1,w1_l1_mc_21,multiple_choice,"Ընտրիր "լավ"-ի թարգմանությունը","good",000236,NO
w1_l1,w1_l1_tr_21,translate,"Թարգմանիր՝ "լավ"","good",000242,NO
w1_l1,w1_l1_mc_22,multiple_choice,"Ընտրիր "լավ եմ"-ի թարգմանությունը","fine",000246,NO
w1_l1,w1_l1_tr_22,translate,"Թարգմանիր՝ "լավ եմ"","fine",000252,NO
w1_l1,w1_l1_mc_23,multiple_choice,"Ընտրիր "վատ"-ի թարգմանությունը","bad",000256,NO
w1_l1,w1_l1_tr_23,translate,"Թարգմանիր՝ "վատ"","bad",000262,NO
w1_l1,w1_l1_mc_24,multiple_choice,"Ընտրիր "լավ"-ի թարգմանությունը","okay",000266,NO
w1_l1,w1_l1_tr_24,translate,"Թարգմանիր՝ "լավ"","okay",000272,NO
w1_l1,w1_l1_match,match_pairs,"Կապիր հայերեն բառերը անգլերեն թարգմանությունների հետ","",000276,NO
w1_l2,w1_l2_mc_0,multiple_choice,"Ընտրիր "պաշտոնական"-ի թարգմանությունը","formal",000026,NO
w1_l2,w1_l2_tr_0,translate,"Թարգմանիր՝ "պաշտոնական"","formal",000032,NO
w1_l2,w1_l2_mc_1,multiple_choice,"Ընտրիր "ոչ պաշտոնական"-ի թարգմանությունը","informal",000036,NO
w1_l2,w1_l2_tr_1,translate,"Թարգմանիր՝ "ոչ պաշտոնական"","informal",000042,NO
w1_l2,w1_l2_mc_2,multiple_choice,"Ընտրիր "ձեռքսեղմում"-ի թարգմանությունը","handshake",000046,NO
w1_l2,w1_l2_tr_2,translate,"Թարգմանիր՝ "ձեռքսեղմում"","handshake",000052,NO
w1_l2,w1_l2_mc_3,multiple_choice,"Ընտրիր "գրկախառնություն"-ի թարգմանությունը","hug",000056,NO
w1_l2,w1_l2_tr_3,translate,"Թարգմանիր՝ "գրկախառնություն"","hug",000062,NO
w1_l2,w1_l2_mc_4,multiple_choice,"Ընտրիր "համբույր"-ի թարգմանությունը","kiss",000066,NO
w1_l2,w1_l2_tr_4,translate,"Թարգմանիր՝ "համբույր"","kiss",000072,NO
w1_l2,w1_l2_mc_5,multiple_choice,"Ընտրիր "ձեռքով անել"-ի թարգմանությունը","to wave",000076,NO
w1_l2,w1_l2_tr_5,translate,"Թարգմանիր՝ "ձեռքով անել"","to wave",000082,NO
w1_l2,w1_l2_mc_6,multiple_choice,"Ընտրիր "ժպիտ"-ի թարգմանությունը","smile",000086,NO
w1_l2,w1_l2_tr_6,translate,"Թարգմանիր՝ "ժպիտ"","smile",000092,NO
w1_l2,w1_l2_mc_7,multiple_choice,"Ընտրիր "քաղաքավարի"-ի թարգմանությունը","polite",000096,NO
w1_l2,w1_l2_tr_7,translate,"Թարգմանիր՝ "քաղաքավարի"","polite",000102,NO
w1_l2,w1_l2_mc_8,multiple_choice,"Ընտրիր "կոպիտ"-ի թարգմանությունը","rude",000106,NO
w1_l2,w1_l2_tr_8,translate,"Թարգմանիր՝ "կոպիտ"","rude",000112,NO
w1_l2,w1_l2_mc_9,multiple_choice,"Ընտրիր "հարգանք"-ի թարգմանությունը","respect",000116,NO
w1_l2,w1_l2_tr_9,translate,"Թարգմանիր՝ "հարգանք"","respect",000122,NO
w1_l2,w1_l2_mc_10,multiple_choice,"Ընտրիր "մեծահասակ"-ի թարգմանությունը","elder",000126,NO
w1_l2,w1_l2_tr_10,translate,"Թարգմանիր՝ "մեծահասակ"","elder",000132,NO
w1_l2,w1_l2_mc_11,multiple_choice,"Ընտրիր "երիտասարդ"-ի թարգմանությունը","young",000136,NO
w1_l2,w1_l2_tr_11,translate,"Թարգմանիր՝ "երիտասարդ"","young",000142,NO
w1_l2,w1_l2_mc_12,multiple_choice,"Ընտրիր "անծանոթ"-ի թարգմանությունը","stranger",000146,NO
w1_l2,w1_l2_tr_12,translate,"Թարգմանիր՝ "անծանոթ"","stranger",000152,NO
w1_l2,w1_l2_mc_13,multiple_choice,"Ընտրիր "հարևան"-ի թարգմանությունը","neighbor",000156,NO
w1_l2,w1_l2_tr_13,translate,"Թարգմանիր՝ "հարևան"","neighbor",000162,NO
w1_l2,w1_l2_mc_14,multiple_choice,"Ընտրիր "գործընկեր"-ի թարգմանությունը","colleague",000166,NO
w1_l2,w1_l2_tr_14,translate,"Թարգմանիր՝ "գործընկեր"","colleague",000172,NO
w1_l2,w1_l2_mc_15,multiple_choice,"Ընտրիր "ղեկավար"-ի թարգմանությունը","boss",000176,NO
w1_l2,w1_l2_tr_15,translate,"Թարգմանիր՝ "ղեկավար"","boss",000182,NO
w1_l2,w1_l2_mc_16,multiple_choice,"Ընտրիր "հյուր"-ի թարգմանությունը","guest",000186,NO
w1_l2,w1_l2_tr_16,translate,"Թարգմանիր՝ "հյուր"","guest",000192,NO
w1_l2,w1_l2_mc_17,multiple_choice,"Ընտրիր "տանտեր"-ի թարգմանությունը","host",000196,NO
w1_l2,w1_l2_tr_17,translate,"Թարգմանիր՝ "տանտեր"","host",000202,NO
w1_l2,w1_l2_mc_18,multiple_choice,"Ընտրիր "նորից"-ի թարգմանությունը","again",000206,NO
w1_l2,w1_l2_tr_18,translate,"Թարգմանիր՝ "նորից"","again",000212,NO
w1_l2,w1_l2_mc_19,multiple_choice,"Ընտրիր "վաղուց"-ի թարգմանությունը","long time",000216,NO
w1_l2,w1_l2_tr_19,translate,"Թարգմանիր՝ "վաղուց"","long time",000222,NO
w1_l2,w1_l2_mc_20,multiple_choice,"Ընտրիր "ինչպես ես"-ի թարգմանությունը","how are you",000226,NO
w1_l2,w1_l2_tr_20,translate,"Թարգմանիր՝ "ինչպես ես"","how are you",000232,NO
w1_l2,w1_l2_mc_21,multiple_choice,"Ընտրիր "ի՞նչ նորություն"-ի թարգմանությունը","what's new",000236,NO
w1_l2,w1_l2_tr_21,translate,"Թարգմանիր՝ "ի՞նչ նորություն"","what's new",000242,NO
w1_l2,w1_l2_mc_22,multiple_choice,"Ընտրիր "հոգ տար"-ի թարգմանությունը","take care",000246,NO
w1_l2,w1_l2_tr_22,translate,"Թարգմանիր՝ "հոգ տար"","take care",000252,NO
w1_l2,w1_l2_mc_23,multiple_choice,"Ընտրիր "բարի օր անցկացրու"-ի թարգմանությունը","have a good day",000256,NO
w1_l2,w1_l2_tr_23,translate,"Թարգմանիր՝ "բարի օր անցկացրու"","have a good day",000262,NO
w1_l2,w1_l2_mc_24,multiple_choice,"Ընտրիր "Աստված հետդ"-ի թարգմանությունը","God be with you",000266,NO
w1_l2,w1_l2_tr_24,translate,"Թարգմանիր՝ "Աստված հետդ"","God be with you",000272,NO
w1_l2,w1_l2_match,match_pairs,"Կապիր հայերեն բառերը անգլերեն թարգմանությունների հետ","",000555,NO
w1_l3,w1_l3_mc_0,multiple_choice,"Ընտրիր "ես"-ի թարգմանությունը","I",000026,NO
w1_l3,w1_l3_tr_0,translate,"Թարգմանիր՝ "ես"","I",000032,NO
w1_l3,w1_l3_mc_1,multiple_choice,"Ընտրիր "դու"-ի թարգմանությունը","you",000036,NO
w1_l3,w1_l3_tr_1,translate,"Թարգմանիր՝ "դու"","you",000042,NO
w1_l3,w1_l3_mc_2,multiple_choice,"Ընտրիր "նա"-ի թարգմանությունը","he",000046,NO
w1_l3,w1_l3_tr_2,translate,"Թարգմանիր՝ "նա"","he",000052,NO
w1_l3,w1_l3_mc_3,multiple_choice,"Ընտրիր "նա"-ի թարգմանությունը","she",000056,NO
w1_l3,w1_l3_tr_3,translate,"Թարգմանիր՝ "նա"","she",000062,NO
w1_l3,w1_l3_mc_4,multiple_choice,"Ընտրիր "մենք"-ի թարգմանությունը","we",000066,NO
w1_l3,w1_l3_tr_4,translate,"Թարգմանիր՝ "մենք"","we",000072,NO
w1_l3,w1_l3_mc_5,multiple_choice,"Ընտրիր "նրանք"-ի թարգմանությունը","they",000076,NO
w1_l3,w1_l3_tr_5,translate,"Թարգմանիր՝ "նրանք"","they",000082,NO
w1_l3,w1_l3_mc_6,multiple_choice,"Ընտրիր "իմ"-ի թարգմանությունը","my",000086,NO
w1_l3,w1_l3_tr_6,translate,"Թարգմանիր՝ "իմ"","my",000092,NO
w1_l3,w1_l3_mc_7,multiple_choice,"Ընտրիր "քո"-ի թարգմանությունը","your",000096,NO
w1_l3,w1_l3_tr_7,translate,"Թարգմանիր՝ "քո"","your",000102,NO
w1_l3,w1_l3_mc_8,multiple_choice,"Ընտրիր "նրա"-ի թարգմանությունը","his",000106,NO
w1_l3,w1_l3_tr_8,translate,"Թարգմանիր՝ "նրա"","his",000112,NO
w1_l3,w1_l3_mc_9,multiple_choice,"Ընտրիր "նրա"-ի թարգմանությունը","her",000116,NO
w1_l3,w1_l3_tr_9,translate,"Թարգմանիր՝ "նրա"","her",000122,NO
w1_l3,w1_l3_mc_10,multiple_choice,"Ընտրիր "անուն"-ի թարգմանությունը","name",000126,NO
w1_l3,w1_l3_tr_10,translate,"Թարգմանիր՝ "անուն"","name",000132,NO
w1_l3,w1_l3_mc_11,multiple_choice,"Ընտրիր "ազգանուն"-ի թարգմանությունը","surname",000136,NO
w1_l3,w1_l3_tr_11,translate,"Թարգմանիր՝ "ազգանուն"","surname",000142,NO
w1_l3,w1_l3_mc_12,multiple_choice,"Ընտրիր "լինել"-ի թարգմանությունը","to be",000146,NO
w1_l3,w1_l3_tr_12,translate,"Թարգմանիր՝ "լինել"","to be",000152,NO
w1_l3,w1_l3_mc_13,multiple_choice,"Ընտրիր "կոչվել"-ի թարգմանությունը","to be called",000156,NO
w1_l3,w1_l3_tr_13,translate,"Թարգմանիր՝ "կոչվել"","to be called",000162,NO
w1_l3,w1_l3_mc_14,multiple_choice,"Ընտրիր "ներկայացնել"-ի թարգմանությունը","to introduce",000166,NO
w1_l3,w1_l3_tr_14,translate,"Թարգմանիր՝ "ներկայացնել"","to introduce",000172,NO
w1_l3,w1_l3_mc_15,multiple_choice,"Ընտրիր "սա"-ի թարգմանությունը","this",000176,NO
w1_l3,w1_l3_tr_15,translate,"Թարգմանիր՝ "սա"","this",000182,NO
w1_l3,w1_l3_mc_16,multiple_choice,"Ընտրիր "դա"-ի թարգմանությունը","that",000186,NO
w1_l3,w1_l3_tr_16,translate,"Թարգմանիր՝ "դա"","that",000192,NO
w1_l3,w1_l3_mc_17,multiple_choice,"Ընտրիր "մարդ"-ի թարգմանությունը","person",000196,NO
w1_l3,w1_l3_tr_17,translate,"Թարգմանիր՝ "մարդ"","person",000202,NO
w1_l3,w1_l3_mc_18,multiple_choice,"Ընտրիր "տղամարդ"-ի թարգմանությունը","man",000206,NO
w1_l3,w1_l3_tr_18,translate,"Թարգմանիր՝ "տղամարդ"","man",000212,NO
w1_l3,w1_l3_mc_19,multiple_choice,"Ընտրիր "կին"-ի թարգմանությունը","woman",000216,NO
w1_l3,w1_l3_tr_19,translate,"Թարգմանիր՝ "կին"","woman",000222,NO
w1_l3,w1_l3_mc_20,multiple_choice,"Ընտրիր "տղա"-ի թարգմանությունը","boy",000226,NO
w1_l3,w1_l3_tr_20,translate,"Թարգմանիր՝ "տղա"","boy",000232,NO
w1_l3,w1_l3_mc_21,multiple_choice,"Ընտրիր "աղջիկ"-ի թարգմանությունը","girl",000236,NO
w1_l3,w1_l3_tr_21,translate,"Թարգմանիր՝ "աղջիկ"","girl",000242,NO
w1_l3,w1_l3_mc_22,multiple_choice,"Ընտրիր "երեխա"-ի թարգմանությունը","child",000246,NO
w1_l3,w1_l3_tr_22,translate,"Թարգմանիր՝ "երեխա"","child",000252,NO
w1_l3,w1_l3_mc_23,multiple_choice,"Ընտրիր "ուսանող"-ի թարգմանությունը","student",000256,NO
w1_l3,w1_l3_tr_23,translate,"Թարգմանիր՝ "ուսանող"","student",000262,NO
w1_l3,w1_l3_mc_24,multiple_choice,"Ընտրիր "ուսուցիչ"-ի թարգմանությունը","teacher",000266,NO
w1_l3,w1_l3_tr_24,translate,"Թարգմանիր՝ "ուսուցիչ"","teacher",000272,NO
w1_l3,w1_l3_match,match_pairs,"Կապիր հայերեն բառերը անգլերեն թարգմանությունների հետ","",000834,NO
w1_l4,w1_l4_mc_0,multiple_choice,"Ընտրիր "Հայաստան"-ի թարգմանությունը","Armenia",000026,NO
w1_l4,w1_l4_tr_0,translate,"Թարգմանիր՝ "Հայաստան"","Armenia",000032,NO
w1_l4,w1_l4_mc_1,multiple_choice,"Ընտրիր "Ռուսաստան"-ի թարգմանությունը","Russia",000036,NO
w1_l4,w1_l4_tr_1,translate,"Թարգմանիր՝ "Ռուսաստան"","Russia",000042,NO
w1_l4,w1_l4_mc_2,multiple_choice,"Ընտրիր "Ամերիկա"-ի թարգմանությունը","America",000046,NO
w1_l4,w1_l4_tr_2,translate,"Թարգմանիր՝ "Ամերիկա"","America",000052,NO
w1_l4,w1_l4_mc_3,multiple_choice,"Ընտրիր "Անգլիա"-ի թարգմանությունը","England",000056,NO
w1_l4,w1_l4_tr_3,translate,"Թարգմանիր՝ "Անգլիա"","England",000062,NO
w1_l4,w1_l4_mc_4,multiple_choice,"Ընտրիր "Ֆրանսիա"-ի թարգմանությունը","France",000066,NO
w1_l4,w1_l4_tr_4,translate,"Թարգմանիր՝ "Ֆրանսիա"","France",000072,NO
w1_l4,w1_l4_mc_5,multiple_choice,"Ընտրիր "Գերմանիա"-ի թարգմանությունը","Germany",000076,NO
w1_l4,w1_l4_tr_5,translate,"Թարգմանիր՝ "Գերմանիա"","Germany",000082,NO
w1_l4,w1_l4_mc_6,multiple_choice,"Ընտրիր "Իտալիա"-ի թարգմանությունը","Italy",000086,NO
w1_l4,w1_l4_tr_6,translate,"Թարգմանիր՝ "Իտալիա"","Italy",000092,NO
w1_l4,w1_l4_mc_7,multiple_choice,"Ընտրիր "Իսպանիա"-ի թարգմանությունը","Spain",000096,NO
w1_l4,w1_l4_tr_7,translate,"Թարգմանիր՝ "Իսպանիա"","Spain",000102,NO
w1_l4,w1_l4_mc_8,multiple_choice,"Ընտրիր "Չինաստան"-ի թարգմանությունը","China",000106,NO
w1_l4,w1_l4_tr_8,translate,"Թարգմանիր՝ "Չինաստան"","China",000112,NO
w1_l4,w1_l4_mc_9,multiple_choice,"Ընտրիր "Ճապոնիա"-ի թարգմանությունը","Japan",000116,NO
w1_l4,w1_l4_tr_9,translate,"Թարգմանիր՝ "Ճապոնիա"","Japan",000122,NO
w1_l4,w1_l4_mc_10,multiple_choice,"Ընտրիր "Հնդկաստան"-ի թարգմանությունը","India",000126,NO
w1_l4,w1_l4_tr_10,translate,"Թարգմանիր՝ "Հնդկաստան"","India",000132,NO
w1_l4,w1_l4_mc_11,multiple_choice,"Ընտրիր "Բրազիլիա"-ի թարգմանությունը","Brazil",000136,NO
w1_l4,w1_l4_tr_11,translate,"Թարգմանիր՝ "Բրազիլիա"","Brazil",000142,NO
w1_l4,w1_l4_mc_12,multiple_choice,"Ընտրիր "Թուրքիա"-ի թարգմանությունը","Turkey",000146,NO
w1_l4,w1_l4_tr_12,translate,"Թարգմանիր՝ "Թուրքիա"","Turkey",000152,NO
w1_l4,w1_l4_mc_13,multiple_choice,"Ընտրիր "Իրան"-ի թարգմանությունը","Iran",000156,NO
w1_l4,w1_l4_tr_13,translate,"Թարգմանիր՝ "Իրան"","Iran",000162,NO
w1_l4,w1_l4_mc_14,multiple_choice,"Ընտրիր "Վրաստան"-ի թարգմանությունը","Georgia",000166,NO
w1_l4,w1_l4_tr_14,translate,"Թարգմանիր՝ "Վրաստան"","Georgia",000172,NO
w1_l4,w1_l4_mc_15,multiple_choice,"Ընտրիր "Ուկրաինա"-ի թարգմանությունը","Ukraine",000176,NO
w1_l4,w1_l4_tr_15,translate,"Թարգմանիր՝ "Ուկրաինա"","Ukraine",000182,NO
w1_l4,w1_l4_mc_16,multiple_choice,"Ընտրիր "Կանադա"-ի թարգմանությունը","Canada",000186,NO
w1_l4,w1_l4_tr_16,translate,"Թարգմանիր՝ "Կանադա"","Canada",000192,NO
w1_l4,w1_l4_mc_17,multiple_choice,"Ընտրիր "Մեքսիկա"-ի թարգմանությունը","Mexico",000196,NO
w1_l4,w1_l4_tr_17,translate,"Թարգմանիր՝ "Մեքսիկա"","Mexico",000202,NO
w1_l4,w1_l4_mc_18,multiple_choice,"Ընտրիր "Հունաստան"-ի թարգմանությունը","Greece",000206,NO
w1_l4,w1_l4_tr_18,translate,"Թարգմանիր՝ "Հունաստան"","Greece",000212,NO
w1_l4,w1_l4_mc_19,multiple_choice,"Ընտրիր "Եգիպտոս"-ի թարգմանությունը","Egypt",000216,NO
w1_l4,w1_l4_tr_19,translate,"Թարգմանիր՝ "Եգիպտոս"","Egypt",000222,NO
w1_l4,w1_l4_mc_20,multiple_choice,"Ընտրիր "երկիր"-ի թարգմանությունը","country",000226,NO
w1_l4,w1_l4_tr_20,translate,"Թարգմանիր՝ "երկիր"","country",000232,NO
w1_l4,w1_l4_mc_21,multiple_choice,"Ընտրիր "մայրաքաղաք"-ի թարգմանությունը","capital",000236,NO
w1_l4,w1_l4_tr_21,translate,"Թարգմանիր՝ "մայրաքաղաք"","capital",000242,NO
w1_l4,w1_l4_mc_22,multiple_choice,"Ընտրիր "քաղաք"-ի թարգմանությունը","city",000246,NO
w1_l4,w1_l4_tr_22,translate,"Թարգմանիր՝ "քաղաք"","city",000252,NO
w1_l4,w1_l4_mc_23,multiple_choice,"Ընտրիր "գյուղ"-ի թարգմանությունը","village",000256,NO
w1_l4,w1_l4_tr_23,translate,"Թարգմանիր՝ "գյուղ"","village",000262,NO
w1_l4,w1_l4_mc_24,multiple_choice,"Ընտրիր "աշխարհ"-ի թարգմանությունը","world",000266,NO
w1_l4,w1_l4_tr_24,translate,"Թարգմանիր՝ "աշխարհ"","world",000272,NO
w1_l4,w1_l4_match,match_pairs,"Կապիր հայերեն բառերը անգլերեն թարգմանությունների հետ","",001113,NO
w1_l5,w1_l5_mc_0,multiple_choice,"Ընտրիր "հայ"-ի թարգմանությունը","Armenian",000026,NO
w1_l5,w1_l5_tr_0,translate,"Թարգմանիր՝ "հայ"","Armenian",000032,NO
w1_l5,w1_l5_mc_1,multiple_choice,"Ընտրիր "ռուս"-ի թարգմանությունը","Russian",000036,NO
w1_l5,w1_l5_tr_1,translate,"Թարգմանիր՝ "ռուս"","Russian",000042,NO
w1_l5,w1_l5_mc_2,multiple_choice,"Ընտրիր "ամերիկացի"-ի թարգմանությունը","American",000046,NO
w1_l5,w1_l5_tr_2,translate,"Թարգմանիր՝ "ամերիկացի"","American",000052,NO
w1_l5,w1_l5_mc_3,multiple_choice,"Ընտրիր "անգլիացի"-ի թարգմանությունը","English",000056,NO
w1_l5,w1_l5_tr_3,translate,"Թարգմանիր՝ "անգլիացի"","English",000062,NO
w1_l5,w1_l5_mc_4,multiple_choice,"Ընտրիր "ֆրանսիացի"-ի թարգմանությունը","French",000066,NO
w1_l5,w1_l5_tr_4,translate,"Թարգմանիր՝ "ֆրանսիացի"","French",000072,NO
w1_l5,w1_l5_mc_5,multiple_choice,"Ընտրիր "գերմանացի"-ի թարգմանությունը","German",000076,NO
w1_l5,w1_l5_tr_5,translate,"Թարգմանիր՝ "գերմանացի"","German",000082,NO
w1_l5,w1_l5_mc_6,multiple_choice,"Ընտրիր "իտալացի"-ի թարգմանությունը","Italian",000086,NO
w1_l5,w1_l5_tr_6,translate,"Թարգմանիր՝ "իտալացի"","Italian",000092,NO
w1_l5,w1_l5_mc_7,multiple_choice,"Ընտրիր "իսպանացի"-ի թարգմանությունը","Spanish",000096,NO
w1_l5,w1_l5_tr_7,translate,"Թարգմանիր՝ "իսպանացի"","Spanish",000102,NO
w1_l5,w1_l5_mc_8,multiple_choice,"Ընտրիր "չինացի"-ի թարգմանությունը","Chinese",000106,NO
w1_l5,w1_l5_tr_8,translate,"Թարգմանիր՝ "չինացի"","Chinese",000112,NO
w1_l5,w1_l5_mc_9,multiple_choice,"Ընտրիր "ճապոնացի"-ի թարգմանությունը","Japanese",000116,NO
w1_l5,w1_l5_tr_9,translate,"Թարգմանիր՝ "ճապոնացի"","Japanese",000122,NO
w1_l5,w1_l5_mc_10,multiple_choice,"Ընտրիր "հնդիկ"-ի թարգմանությունը","Indian",000126,NO
w1_l5,w1_l5_tr_10,translate,"Թարգմանիր՝ "հնդիկ"","Indian",000132,NO
w1_l5,w1_l5_mc_11,multiple_choice,"Ընտրիր "թուրք"-ի թարգմանությունը","Turkish",000136,NO
w1_l5,w1_l5_tr_11,translate,"Թարգմանիր՝ "թուրք"","Turkish",000142,NO
w1_l5,w1_l5_mc_12,multiple_choice,"Ընտրիր "իրանցի"-ի թարգմանությունը","Iranian",000146,NO
w1_l5,w1_l5_tr_12,translate,"Թարգմանիր՝ "իրանցի"","Iranian",000152,NO
w1_l5,w1_l5_mc_13,multiple_choice,"Ընտրիր "վրացի"-ի թարգմանությունը","Georgian",000156,NO
w1_l5,w1_l5_tr_13,translate,"Թարգմանիր՝ "վրացի"","Georgian",000162,NO
w1_l5,w1_l5_mc_14,multiple_choice,"Ընտրիր "ուկրաինացի"-ի թարգմանությունը","Ukrainian",000166,NO
w1_l5,w1_l5_tr_14,translate,"Թարգմանիր՝ "ուկրաինացի"","Ukrainian",000172,NO
w1_l5,w1_l5_mc_15,multiple_choice,"Ընտրիր "կանադացի"-ի թարգմանությունը","Canadian",000176,NO
w1_l5,w1_l5_tr_15,translate,"Թարգմանիր՝ "կանադացի"","Canadian",000182,NO
w1_l5,w1_l5_mc_16,multiple_choice,"Ընտրիր "հույն"-ի թարգմանությունը","Greek",000186,NO
w1_l5,w1_l5_tr_16,translate,"Թարգմանիր՝ "հույն"","Greek",000192,NO
w1_l5,w1_l5_mc_17,multiple_choice,"Ընտրիր "եգիպտացի"-ի թարգմանությունը","Egyptian",000196,NO
w1_l5,w1_l5_tr_17,translate,"Թարգմանիր՝ "եգիպտացի"","Egyptian",000202,NO
w1_l5,w1_l5_mc_18,multiple_choice,"Ընտրիր "ազգություն"-ի թարգմանությունը","nationality",000206,NO
w1_l5,w1_l5_tr_18,translate,"Թարգմանիր՝ "ազգություն"","nationality",000212,NO
w1_l5,w1_l5_mc_19,multiple_choice,"Ընտրիր "ծագում"-ի թարգմանությունը","origin",000216,NO
w1_l5,w1_l5_tr_19,translate,"Թարգմանիր՝ "ծագում"","origin",000222,NO
w1_l5,w1_l5_mc_20,multiple_choice,"Ընտրիր "քաղաքացի"-ի թարգմանությունը","citizen",000226,NO
w1_l5,w1_l5_tr_20,translate,"Թարգմանիր՝ "քաղաքացի"","citizen",000232,NO
w1_l5,w1_l5_mc_21,multiple_choice,"Ընտրիր "անձնագիր"-ի թարգմանությունը","passport",000236,NO
w1_l5,w1_l5_tr_21,translate,"Թարգմանիր՝ "անձնագիր"","passport",000242,NO
w1_l5,w1_l5_mc_22,multiple_choice,"Ընտրիր "ընտանիք"-ի թարգմանությունը","family",000246,NO
w1_l5,w1_l5_tr_22,translate,"Թարգմանիր՝ "ընտանիք"","family",000252,NO
